num_targets,duration_steps,clutter_rate,maneuver_intensity,detection_probability,seed,optimizer,num_trials,best_score,best_iteration,runtime_s,feat_target_density,feat_measurement_rate,feat_dispersion
5,20,1.0,0.1,0.9,0,random_search,12,53.637679234346585,5,1.4689500331878662,2.26e-07,5.65,1119.069617953094
5,20,1.0,0.1,0.9,0,bayes_opt,12,56.767509688003415,5,2.3055901527404785,2.26e-07,5.65,1119.069617953094
5,20,1.0,0.1,0.9,1,random_search,12,60.273794531705875,3,1.8389229774475098,2.22e-07,5.55,1087.437716206649
5,20,1.0,0.1,0.9,1,bayes_opt,12,59.51547935151043,10,2.2234280109405518,2.22e-07,5.55,1087.437716206649
5,20,1.0,1.0,0.9,0,random_search,12,44.969886695697866,1,1.7764060497283936,2.3600000000000002e-07,5.9,1291.166561046331
5,20,1.0,1.0,0.9,0,bayes_opt,12,38.485687439769904,6,2.233884811401367,2.3600000000000002e-07,5.9,1291.166561046331
5,20,1.0,1.0,0.9,1,random_search,12,83.87440471477893,4,2.118507146835327,2.22e-07,5.55,1086.4826917945368
5,20,1.0,1.0,0.9,1,bayes_opt,12,83.86972324530653,10,2.567300796508789,2.22e-07,5.55,1086.4826917945368
5,20,5.0,0.1,0.9,0,random_search,12,60.00387603541354,1,3.9698917865753174,3.82e-07,9.55,1455.6592376135168
5,20,5.0,0.1,0.9,0,bayes_opt,12,21.05006408942846,7,4.2763190269470215,3.82e-07,9.55,1455.6592376135168
5,20,5.0,0.1,0.9,1,random_search,12,47.29370856750576,6,4.3106231689453125,4.06e-07,10.15,1476.2696681657771
5,20,5.0,0.1,0.9,1,bayes_opt,12,29.625370162500968,5,4.506568193435669,4.06e-07,10.15,1476.2696681657771
5,20,5.0,1.0,0.9,0,random_search,12,59.84916465843046,1,4.306489944458008,3.8e-07,9.5,1535.0218988274996
5,20,5.0,1.0,0.9,0,bayes_opt,12,59.833232036607384,7,4.40556001663208,3.8e-07,9.5,1535.0218988274996
5,20,5.0,1.0,0.9,1,random_search,12,45.89862849689534,3,3.9441111087799072,3.74e-07,9.35,1416.2113718198793
5,20,5.0,1.0,0.9,1,bayes_opt,12,37.477720160782184,8,4.104361057281494,3.74e-07,9.35,1416.2113718198793
15,20,1.0,0.1,0.9,0,random_search,12,104.18670599170525,3,295.1783449649811,5.74e-07,14.35,908.9218018546137
15,20,1.0,0.1,0.9,0,bayes_opt,12,104.18540270642974,5,294.0944199562073,5.74e-07,14.35,908.9218018546137
15,20,1.0,0.1,0.9,1,random_search,12,111.57515296399478,3,548.0079288482666,5.86e-07,14.65,891.6173926658681
15,20,1.0,0.1,0.9,1,bayes_opt,12,105.26970172391424,9,314.4937298297882,5.86e-07,14.65,891.6173926658681
15,20,1.0,1.0,0.9,0,random_search,12,54.11372131417803,1,339.76652789115906,5.660000000000001e-07,14.15,763.3362944334065
15,20,1.0,1.0,0.9,0,bayes_opt,12,37.878225319183535,5,210.34567284584045,5.660000000000001e-07,14.15,763.3362944334065
15,20,1.0,1.0,0.9,1,random_search,12,87.90226435591703,3,514.1017200946808,5.660000000000001e-07,14.15,768.316015901705
15,20,1.0,1.0,0.9,1,bayes_opt,12,59.224907505047824,7,273.92079520225525,5.660000000000001e-07,14.15,768.316015901705
15,20,5.0,0.1,0.9,0,random_search,12,100.80155212710098,1,487.43027806282043,7.459999999999999e-07,18.65,1287.6709785863468
15,20,5.0,0.1,0.9,0,bayes_opt,12,100.80155212710099,1,369.0118660926819,7.459999999999999e-07,18.65,1287.6709785863468
15,20,5.0,0.1,0.9,1,random_search,12,107.69558803728009,0,439.17897295951843,7.240000000000001e-07,18.1,1239.0189635776117
15,20,5.0,0.1,0.9,1,bayes_opt,12,107.69519639857795,6,457.5766978263855,7.240000000000001e-07,18.1,1239.0189635776117
15,20,5.0,1.0,0.9,0,random_search,12,88.3508026731772,1,2084.4069538116455,7.48e-07,18.7,1178.779771392658
15,20,5.0,1.0,0.9,0,bayes_opt,12,80.39000354622341,5,890.0409710407257,7.48e-07,18.7,1178.779771392658
15,20,5.0,1.0,0.9,1,random_search,12,83.09271120882559,3,241.0234191417694,7.28e-07,18.2,1239.4571164423924
15,20,5.0,1.0,0.9,1,bayes_opt,12,77.14692718970767,7,173.40095210075378,7.28e-07,18.2,1239.4571164423924
